date,cases_mtl_0-4,cases_mtl_5-9,cases_mtl_10-19,cases_mtl_20-29,cases_mtl_30-39,cases_mtl_40-49,cases_mtl_50-59,cases_mtl_60-69,cases_mtl_70-79,cases_mtl_80+,cases_mtl_0-4_per100000,cases_mtl_5-9_per100000,cases_mtl_10-19_per100000,cases_mtl_20-29_per100000,cases_mtl_30-39_per100000,cases_mtl_40-49_per100000,cases_mtl_50-59_per100000,cases_mtl_60-69_per100000,cases_mtl_70-79_per100000,cases_mtl_80+_per100000,cases_mtl_0-4_norm,cases_mtl_5-9_norm,cases_mtl_10-19_norm,cases_mtl_20-29_norm,cases_mtl_30-39_norm,cases_mtl_40-49_norm,cases_mtl_50-59_norm,cases_mtl_60-69_norm,cases_mtl_70-79_norm,cases_mtl_80+_norm,cases_mtl_0-4_per100000_norm,cases_mtl_5-9_per100000_norm,cases_mtl_10-19_per100000_norm,cases_mtl_20-29_per100000_norm,cases_mtl_30-39_per100000_norm,cases_mtl_40-49_per100000_norm,cases_mtl_50-59_per100000_norm,cases_mtl_60-69_per100000_norm,cases_mtl_70-79_per100000_norm,cases_mtl_80+_per100000_norm
2020-05-01,145.0,123.0,452.0,1608.0,1830.0,2095.0,1851.0,1303.0,1375.0,3750.0,132.0,118.0,240.0,548.0,611.0,823.0,715.0,636.0,1060.0,3795.0,1.0,0.8,3.1,11.1,12.6,14.4,12.7,9.0,9.5,25.8,1.5,1.4,2.8,6.3,7.0,9.5,8.2,7.3,12.2,43.7
2020-05-02,154.0,126.0,465.0,1718.0,1945.0,2254.0,2054.0,1435.0,1554.0,4466.0,140.0,121.0,247.0,586.0,649.0,886.0,793.0,700.0,1198.0,4520.0,1.0,0.8,2.9,10.6,12.0,13.9,12.7,8.9,9.6,27.6,1.4,1.2,2.5,6.0,6.6,9.0,8.1,7.1,12.2,45.9
2020-05-03,161.0,130.0,472.0,1742.0,2001.0,2310.0,2107.0,1470.0,1583.0,4549.0,147.0,125.0,251.0,594.0,668.0,908.0,814.0,717.0,1221.0,4604.0,1.0,0.8,2.9,10.5,12.1,14.0,12.8,8.9,9.6,27.5,1.5,1.2,2.5,5.9,6.6,9.0,8.1,7.1,12.1,45.8
2020-05-04,162.0,133.0,481.0,1784.0,2055.0,2364.0,2159.0,1501.0,1615.0,4655.0,148.0,127.0,256.0,608.0,686.0,929.0,834.0,732.0,1245.0,4711.0,1.0,0.8,2.8,10.6,12.2,14.0,12.8,8.9,9.6,27.5,1.4,1.2,2.5,5.9,6.7,9.0,8.1,7.1,12.1,45.8
2020-05-05,166.0,138.0,497.0,1845.0,2108.0,2418.0,2210.0,1547.0,1659.0,4773.0,151.0,132.0,264.0,629.0,703.0,950.0,854.0,755.0,1279.0,4831.0,1.0,0.8,2.9,10.6,12.1,13.9,12.7,8.9,9.6,27.5,1.4,1.3,2.5,6.0,6.7,9.0,8.1,7.2,12.1,45.8
2020-05-06,167.0,140.0,512.0,1893.0,2169.0,2485.0,2272.0,1572.0,1711.0,4929.0,152.0,134.0,272.0,646.0,724.0,977.0,878.0,767.0,1319.0,4989.0,0.9,0.8,2.9,10.6,12.2,13.9,12.7,8.8,9.6,27.6,1.4,1.2,2.5,5.9,6.7,9.0,8.1,7.1,12.2,45.9
2020-05-07,175.0,144.0,528.0,1943.0,2235.0,2545.0,2342.0,1622.0,1764.0,5068.0,159.0,138.0,281.0,663.0,746.0,1000.0,905.0,791.0,1360.0,5129.0,1.0,0.8,2.9,10.6,12.2,13.9,12.8,8.8,9.6,27.6,1.4,1.2,2.5,5.9,6.7,9.0,8.1,7.1,12.2,45.9
2020-05-08,175.0,150.0,545.0,2009.0,2305.0,2616.0,2389.0,1647.0,1796.0,5152.0,159.0,144.0,290.0,685.0,769.0,1028.0,923.0,803.0,1385.0,5214.0,0.9,0.8,2.9,10.7,12.3,13.9,12.7,8.8,9.6,27.4,1.4,1.3,2.5,6.0,6.7,9.0,8.1,7.0,12.1,45.7
2020-05-09,176.0,155.0,556.0,2045.0,2347.0,2668.0,2441.0,1673.0,1830.0,5234.0,160.0,148.0,295.0,697.0,783.0,1048.0,943.0,816.0,1411.0,5297.0,0.9,0.8,2.9,10.7,12.3,14.0,12.8,8.7,9.6,27.4,1.4,1.3,2.5,6.0,6.8,9.0,8.1,7.0,12.2,45.7
2020-05-10,184.0,162.0,569.0,2081.0,2401.0,2705.0,2480.0,1697.0,1847.0,5292.0,168.0,155.0,302.0,710.0,801.0,1063.0,958.0,828.0,1424.0,5356.0,0.9,0.8,2.9,10.7,12.4,13.9,12.8,8.7,9.5,27.3,1.4,1.3,2.6,6.0,6.8,9.0,8.1,7.0,12.1,45.5
2020-05-11,186.0,167.0,587.0,2132.0,2461.0,2763.0,2528.0,1729.0,1882.0,5366.0,169.0,160.0,312.0,727.0,821.0,1086.0,977.0,843.0,1451.0,5431.0,0.9,0.8,3.0,10.8,12.4,14.0,12.8,8.7,9.5,27.1,1.4,1.3,2.6,6.1,6.9,9.1,8.2,7.0,12.1,45.3
2020-05-12,190.0,173.0,606.0,2178.0,2495.0,2802.0,2578.0,1754.0,1910.0,5469.0,173.0,166.0,322.0,743.0,833.0,1101.0,996.0,856.0,1473.0,5535.0,0.9,0.9,3.0,10.8,12.4,13.9,12.8,8.7,9.5,27.1,1.4,1.4,2.6,6.1,6.8,9.0,8.2,7.0,12.1,45.4
2020-05-13,199.0,180.0,624.0,2241.0,2541.0,2862.0,2616.0,1791.0,1937.0,5566.0,181.0,172.0,332.0,764.0,848.0,1125.0,1011.0,874.0,1494.0,5633.0,1.0,0.9,3.0,10.9,12.4,13.9,12.7,8.7,9.4,27.1,1.5,1.4,2.7,6.1,6.8,9.0,8.1,7.0,12.0,45.3
2020-05-14,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-05-15,216.0,188.0,669.0,2323.0,2644.0,2952.0,2718.0,1853.0,2010.0,5757.0,197.0,180.0,356.0,792.0,882.0,1160.0,1050.0,904.0,1550.0,5827.0,1.0,0.9,3.1,10.9,12.4,13.8,12.7,8.7,9.4,27.0,1.5,1.4,2.8,6.1,6.8,9.0,8.1,7.0,12.0,45.2
2020-05-16,220.0,194.0,682.0,2369.0,2680.0,2991.0,2762.0,1880.0,2039.0,5823.0,200.0,186.0,362.0,808.0,894.0,1175.0,1067.0,917.0,1572.0,5893.0,1.0,0.9,3.2,10.9,12.4,13.8,12.8,8.7,9.4,26.9,1.5,1.4,2.8,6.2,6.8,9.0,8.2,7.0,12.0,45.1
2020-05-17,223.0,199.0,697.0,2410.0,2713.0,3035.0,2798.0,1914.0,2058.0,5907.0,203.0,191.0,370.0,822.0,905.0,1193.0,1081.0,934.0,1587.0,5978.0,1.0,0.9,3.2,11.0,12.4,13.8,12.7,8.7,9.4,26.9,1.5,1.4,2.8,6.2,6.8,9.0,8.1,7.0,12.0,45.1
2020-05-18,227.0,205.0,713.0,2436.0,2763.0,3071.0,2828.0,1945.0,2084.0,5968.0,207.0,196.0,379.0,831.0,922.0,1207.0,1092.0,949.0,1607.0,6040.0,1.0,0.9,3.2,11.0,12.4,13.8,12.7,8.7,9.4,26.8,1.5,1.5,2.8,6.2,6.9,9.0,8.1,7.1,12.0,45.0
2020-05-19,233.0,209.0,733.0,2472.0,2809.0,3104.0,2861.0,1977.0,2105.0,6055.0,212.0,200.0,390.0,843.0,937.0,1220.0,1105.0,964.0,1623.0,6128.0,1.0,0.9,3.2,11.0,12.5,13.8,12.7,8.8,9.3,26.8,1.6,1.5,2.9,6.2,6.9,9.0,8.1,7.1,11.9,45.0
2020-05-20,238.0,211.0,747.0,2525.0,2871.0,3168.0,2916.0,2021.0,2148.0,6141.0,217.0,202.0,397.0,861.0,958.0,1245.0,1126.0,986.0,1656.0,6215.0,1.0,0.9,3.2,11.0,12.5,13.8,12.7,8.8,9.3,26.7,1.6,1.5,2.9,6.2,6.9,9.0,8.1,7.1,11.9,44.8
2020-05-21,239.0,216.0,764.0,2562.0,2910.0,3224.0,2955.0,2053.0,2168.0,6243.0,218.0,207.0,406.0,874.0,971.0,1267.0,1141.0,1001.0,1672.0,6319.0,1.0,0.9,3.3,11.0,12.5,13.8,12.7,8.8,9.3,26.8,1.5,1.5,2.9,6.2,6.9,9.0,8.1,7.1,11.9,44.9
2020-05-22,243.0,218.0,775.0,2613.0,2950.0,3256.0,3009.0,2071.0,2178.0,6301.0,221.0,209.0,412.0,891.0,984.0,1279.0,1162.0,1010.0,1680.0,6377.0,1.0,0.9,3.3,11.1,12.5,13.8,12.7,8.8,9.2,26.7,1.6,1.5,2.9,6.3,6.9,9.0,8.2,7.1,11.8,44.8
2020-05-23,243.0,219.0,788.0,2646.0,2984.0,3292.0,3036.0,2089.0,2196.0,6343.0,221.0,210.0,419.0,902.0,996.0,1294.0,1173.0,1019.0,1693.0,6420.0,1.0,0.9,3.3,11.1,12.5,13.8,12.7,8.8,9.2,26.6,1.5,1.5,2.9,6.3,6.9,9.0,8.2,7.1,11.8,44.7
2020-05-24,244.0,221.0,798.0,2683.0,3015.0,3313.0,3058.0,2105.0,2204.0,6393.0,222.0,212.0,424.0,915.0,1006.0,1302.0,1181.0,1027.0,1700.0,6470.0,1.0,0.9,3.3,11.2,12.5,13.8,12.7,8.8,9.2,26.6,1.5,1.5,2.9,6.3,7.0,9.0,8.2,7.1,11.8,44.7
