borough,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18
Lachine,19,22,na,32,35,45,57,59,71,78,83,83,84,85,87,89,93,99,102,104,108,na,114,120,126,129,146,149,155,157,na,na,186,209,333,336,343,354,378,386,399,407,409,417,433,438,na,453,455,465,470,472,483,505,510,515,519,527,530,533,542,546,554,555,557,557,563,569,572,587,591,593,599,602,603,604,610,612,614,619,624,626,na,na,626,626,626,626,na,na,na,625,625,628,628,na,na,na,631,630,632,635,636,na,na,636,636,638,639,642,na,na
LaSalle,66,78,na,119,135,170,204,219,237,267,286,298,312,313,324,339,349,360,372,379,384,na,399,406,425,428,469,478,485,497,na,na,561,586,829,838,852,869,888,902,914,927,938,946,953,964,na,985,989,996,1002,1004,1011,1024,1029,1036,1043,1054,1058,1061,1074,1083,1086,1087,1092,1096,1101,1107,1112,1137,1138,1141,1144,1147,1159,1163,1164,1166,1167,1171,1178,1182,na,na,1188,1188,1188,1191,na,na,na,1194,1198,1198,1199,na,na,na,1203,1204,1203,1209,1213,na,na,1225,1225,1226,1227,1228,na,na
L'Île-Bizard–Sainte-Geneviève,5,7,na,9,9,11,14,15,16,20,19,22,22,25,25,27,28,29,33,32,31,na,38,44,45,52,49,53,54,57,na,na,76,88,116,118,115,118,118,125,132,136,139,143,154,156,na,166,169,172,173,173,177,179,178,179,180,180,182,183,186,185,188,190,190,190,193,193,194,198,202,203,203,204,206,206,208,209,210,210,212,211,na,na,211,211,211,211,na,na,na,212,212,212,212,na,na,na,211,211,211,211,211,na,na,211,211,211,211,211,na,na
Mercier–Hochelaga-Maisonneuve,40,62,na,91,98,126,145,151,182,195,213,232,255,276,298,330,359,396,430,459,488,na,542,569,618,671,761,791,830,852,na,na,1014,1075,1150,1185,1226,1288,1341,1402,1432,1463,1502,1552,1951,1645,na,1737,1779,1825,1844,1887,1924,1945,1971,1991,2014,2039,2057,2073,2085,2103,2129,2138,2143,2151,2153,2169,2180,2191,2201,2209,2214,2214,2221,2229,2234,2237,2238,2240,2249,2253,na,na,2263,2263,2263,2267,na,na,na,2275,2276,2276,2282,na,na,na,2294,2295,2298,2303,2309,na,na,2319,2319,2321,2325,2338,na,na
Montréal-Est,1,1,na,5,5,5,5,5,5,5,6,7,8,8,7,7,7,7,8,8,8,na,11,12,13,14,15,14,14,16,na,na,18,21,22,22,23,23,24,24,26,26,25,27,28,27,na,30,31,32,32,32,33,34,34,35,35,35,36,37,37,37,38,39,39,40,41,41,41,42,44,44,44,44,44,44,44,44,44,44,44,44,na,na,44,44,44,44,na,na,na,44,44,44,44,na,na,na,44,44,44,44,44,na,na,44,44,44,44,44,na,na
Montréal-Nord,26,33,na,50,55,79,99,117,149,165,193,238,263,291,326,357,404,443,490,527,577,na,722,785,839,891,1001,1058,1110,1153,na,na,1316,1377,1423,1457,1501,1544,1615,1676,1729,1762,1791,1820,1857,1894,na,1979,2004,2028,2052,2104,2139,2184,2212,2227,2243,2263,2287,2319,2334,2340,2354,2367,2378,2399,2411,2421,2430,2447,2452,2456,2467,2476,2490,2493,2494,2501,2505,2509,2511,2514,na,na,2523,2524,2524,2538,na,na,na,2551,2552,2557,2560,na,na,na,2564,2564,2562,2566,2569,na,na,2572,2572,2575,2577,2577,na,na
Montréal-Ouest,3,3,na,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,na,7,7,7,7,9,9,9,10,na,na,11,11,14,14,14,14,14,15,15,16,16,16,17,18,na,17,17,17,17,17,17,18,19,18,18,18,18,18,18,18,18,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,na,na,20,20,20,20,na,na,na,20,20,20,20,na,na,na,20,20,20,20,20,na,na,20,20,20,20,20,na,na
Mont-Royal,18,24,na,31,33,34,36,36,37,38,44,44,45,46,47,49,51,53,57,60,63,na,67,76,87,93,91,92,96,104,na,na,125,133,186,190,192,197,202,207,215,222,225,226,229,230,na,231,231,232,234,235,239,242,242,243,244,245,247,248,248,249,250,250,251,255,255,257,257,271,271,271,271,273,273,273,273,273,273,274,276,276,na,na,276,276,276,276,na,na,na,279,279,279,280,na,na,na,282,282,282,282,282,na,na,283,283,283,283,284,na,na
Outremont,56,61,na,88,95,103,113,113,119,131,139,143,145,144,147,148,153,156,157,159,162,na,165,167,170,170,182,182,183,188,na,na,194,196,209,209,211,213,215,217,220,221,220,222,224,225,na,233,235,235,235,236,237,238,241,242,243,244,247,246,247,248,248,248,249,249,250,252,252,257,257,257,259,260,262,262,263,264,264,265,265,266,na,na,267,266,266,269,na,na,na,270,270,270,271,na,na,na,271,271,270,272,272,na,na,272,272,272,272,272,na,na
Pierrefonds–Roxboro,26,27,na,39,39,45,50,54,56,69,75,78,83,86,88,90,93,100,104,108,110,na,117,124,127,138,147,154,155,156,na,na,192,201,287,294,297,313,324,337,352,357,368,377,387,400,na,422,433,439,443,454,461,474,474,478,483,488,493,500,502,504,503,507,509,509,513,514,513,522,526,525,526,526,528,530,531,530,530,532,534,533,na,na,533,534,534,534,na,na,na,534,535,536,536,na,na,na,542,542,542,544,544,na,na,547,547,547,548,548,na,na
Plateau-Mont-Royal,67,80,na,120,134,156,168,174,186,203,220,232,233,235,248,259,275,295,345,348,363,na,380,386,401,416,435,465,488,508,na,na,566,579,609,616,621,631,649,657,672,685,696,710,721,732,na,750,762,765,776,777,783,794,798,805,809,820,823,825,827,830,839,841,842,843,848,848,851,864,865,866,866,867,867,869,872,871,872,875,877,878,na,na,881,881,881,884,na,na,na,887,888,890,893,na,na,na,895,895,894,895,898,na,na,904,908,917,921,930,na,na
Pointe-Claire,11,11,na,14,15,18,21,23,24,30,32,33,33,33,34,37,37,38,39,40,40,na,46,50,52,59,63,62,63,67,na,na,83,87,126,126,129,139,142,142,140,143,143,145,148,153,na,159,164,166,171,174,182,185,184,184,190,196,202,204,207,208,209,209,211,212,213,213,218,221,222,222,222,222,222,222,222,222,222,221,221,222,na,na,222,222,222,222,na,na,na,220,220,222,222,na,na,na,221,221,220,221,221,na,na,222,222,224,223,223,na,na
Rivière-des-Prairies–Pointe-aux-Trembles,41,51,na,73,83,102,117,133,148,161,180,194,216,235,253,285,313,358,395,413,444,na,529,577,647,708,775,817,869,908,na,na,1029,1079,1130,1178,1201,1247,1300,1361,1407,1443,1466,1525,1561,1606,na,1690,1705,1730,1755,1771,1811,1859,1881,1902,1913,1934,1949,1968,1978,1990,2011,2024,2031,2038,2046,2060,2068,2081,2086,2090,2091,2093,2097,2105,2110,2115,2124,2130,2132,2137,na,na,2149,2149,2149,2150,na,na,na,2152,2157,2160,2161,na,na,na,2167,2168,2163,2171,2173,na,na,2177,2176,2177,2180,2181,na,na
Rosemont–La Petite Patrie,80,97,na,133,141,166,181,194,217,227,247,260,278,301,317,336,340,357,379,401,418,na,467,489,527,552,574,600,629,652,na,na,777,837,885,913,931,958,978,1016,1049,1075,1092,1103,1126,1158,na,1204,1217,1231,1247,1268,1308,1318,1340,1356,1370,1392,1409,1420,1429,1440,1453,1458,1464,1470,1471,1476,1485,1495,1497,1501,1508,1513,1519,1521,1525,1530,1533,1537,1539,1542,na,na,1548,1548,1548,1552,na,na,na,1557,1557,1560,1561,na,na,na,1565,1568,1567,1574,1577,na,na,1586,1593,1602,1608,1622,na,na
Sainte-Anne-de-Bellevue,2,2,na,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,na,7,7,7,7,8,8,8,9,na,na,10,12,13,14,15,16,16,15,15,15,16,16,16,16,na,16,17,18,18,18,18,18,19,19,19,19,19,19,18,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,na,na,18,18,18,18,na,na,na,18,18,18,18,na,na,na,18,18,18,18,18,na,na,18,18,18,18,18,na,na
Saint-Laurent,40,49,na,81,90,103,119,128,141,152,163,167,172,181,191,200,213,223,237,253,271,na,302,319,340,354,398,415,433,452,na,na,518,534,586,594,607,627,645,654,662,678,688,710,724,749,na,781,790,806,824,845,875,897,906,916,924,938,950,964,976,983,989,999,1002,1011,1014,1017,1020,1035,1039,1041,1044,1042,1044,1047,1051,1051,1053,1054,1054,1058,na,na,1064,1065,1065,1069,na,na,na,1074,1076,1078,1083,na,na,na,1083,1083,1082,1084,1084,na,na,1088,1089,1090,1090,1093,na,na
Saint-Léonard,17,20,na,37,40,48,67,77,96,103,124,139,153,168,184,210,224,240,258,273,294,na,353,372,394,418,438,480,509,531,na,na,582,600,616,638,638,675,694,716,736,743,766,783,801,816,na,853,867,876,893,910,931,945,964,971,977,990,998,1005,1018,1030,1039,1040,1047,1054,1057,1066,1070,1073,1078,1079,1081,1083,1085,1086,1087,1087,1085,1089,1090,1091,na,na,1092,1092,1092,1094,na,na,na,1101,1104,1104,1104,na,na,na,1108,1108,1110,1113,1114,na,na,1117,1118,1121,1125,1126,na,na
Senneville,0,0,na,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,na,2,2,2,2,2,2,2,2,na,na,2,2,2,3,3,2,2,2,2,2,2,2,2,2,na,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,na,na,5,5,5,5,na,na,na,5,5,5,5,na,na,na,5,5,5,5,5,na,na,5,5,5,5,5,na,na
Sud-Ouest,46,56,na,83,95,107,124,134,162,171,184,210,224,227,236,268,286,310,322,328,350,na,381,406,427,448,469,491,500,525,na,na,563,608,649,662,684,688,694,708,712,717,719,727,730,734,na,748,757,764,781,790,794,802,808,813,818,827,837,842,846,852,853,855,856,858,862,865,869,882,885,888,888,891,892,893,893,893,895,897,901,902,na,na,902,905,905,905,na,na,na,908,908,907,907,na,na,na,908,909,909,909,912,na,na,914,917,924,926,929,na,na
Verdun,36,43,na,77,85,97,105,117,134,141,154,174,183,186,198,240,276,301,326,332,350,na,417,462,505,518,515,523,535,561,na,na,620,635,678,683,706,724,738,746,759,762,762,768,780,786,na,807,820,826,835,841,851,856,863,864,871,876,877,885,885,890,897,900,903,906,912,911,912,923,922,926,927,930,935,935,935,935,936,936,938,938,na,na,945,946,946,946,na,na,na,951,951,951,951,na,na,na,955,955,954,957,957,na,na,961,962,963,967,969,na,na
Ville-Marie,67,78,na,114,117,127,135,140,152,164,174,185,190,193,205,215,225,238,249,252,261,na,274,287,302,321,305,313,322,326,na,na,353,366,399,411,439,456,475,495,508,523,527,539,543,558,na,578,593,611,633,639,651,655,662,670,676,680,690,695,710,716,726,727,729,733,736,739,739,748,754,753,755,759,761,763,767,766,768,768,768,772,na,na,780,784,784,793,na,na,na,808,810,812,812,na,na,na,816,816,817,818,819,na,na,825,837,856,868,882,na,na
Villeray–Saint-Michel–Parc-Extension,41,56,na,88,103,126,149,160,185,199,242,266,292,302,326,367,390,429,467,487,529,na,602,624,660,701,798,837,871,909,na,na,998,1047,1139,1190,1212,1239,1268,1307,1333,1364,1387,1411,1435,1470,na,1520,1536,1549,1569,1601,1642,1688,1717,1741,1747,1781,1799,1824,1852,1882,1891,1907,1930,1952,1968,1980,1992,2027,2037,2045,2049,2058,2067,2070,2077,2080,2088,2100,2106,2115,na,na,2128,2131,2131,2136,na,na,na,2160,2164,2166,2169,na,na,na,2177,2179,2178,2184,2187,na,na,2194,2193,2200,2203,2207,na,na
Westmount,25,29,na,33,38,39,44,46,52,55,57,57,58,59,60,62,63,64,67,67,70,na,72,74,77,84,90,91,91,101,na,na,113,118,128,129,135,139,143,143,145,143,143,149,149,151,na,156,157,159,159,160,163,163,165,165,165,165,167,168,170,169,171,171,173,173,174,175,174,180,180,183,183,183,182,182,182,183,183,183,182,182,na,na,183,184,184,184,na,na,na,183,183,183,184,na,na,na,185,185,185,185,186,na,na,187,187,188,188,190,na,na
TBC,487,653,na,715,735,788,888,938,985,1067,1181,1245,1248,1284,1339,1126,993,983,983,986,964,na,968,990,990,984,563,609,604,602,na,na,583,591,777,775,783,783,765,777,788,775,781,792,781,774,na,798,802,796,798,816,833,834,834,845,853,849,848,852,849,852,864,853,850,855,859,855,860,632,627,627,632,634,629,631,634,631,631,631,626,628,na,na,632,630,630,630,na,na,na,634,635,632,630,na,na,na,628,627,667,626,626,na,na,631,629,628,629,631,na,na
