date,0d,1d,2d,3d
2022-01-05,2332,788,12164,1839
2022-01-06,2110,697,10761,1853
2022-01-07,1650,571,8014,1764
2022-01-08,1243,395,6166,1481
2022-01-09,975,291,5006,1293
2022-01-10,1034,288,5075,1336
2022-01-11,808,258,4096,1505
2022-01-12,748,239,3839,1771
2022-01-13,690,217,3365,1541
2022-01-14,589,198,3101,1427
2022-01-15,450,171,2561,1383
2022-01-16,436,137,2200,1070
2022-01-17,561,166,2495,1171
2022-01-18,547,198,2915,1426
2022-01-19,520,160,2481,1481
2022-01-20,484,177,2284,1419
2022-01-21,470,158,1935,1306
2022-01-22,343,105,1329,1050
2022-01-23,348,108,1215,869
2022-01-24,436,172,1632,1180
2022-01-25,484,198,1885,1503
2022-01-26,474,220,1539,1335
2022-01-27,453,209,1433,1369
2022-01-28,419,160,1362,1284
2022-01-29,349,150,1085,950
2022-01-30,328,138,900,949
2022-01-31,395,187,1269,1272
2022-02-01,505,216,1521,1443
2022-02-02,452,233,1464,1510
2022-02-03,360,161,1183,1223
2022-02-04,363,152,1113,1214
2022-02-05,273,99,732,1001
2022-02-06,266,84,723,901
2022-02-07,369,126,1142,1321
2022-02-08,411,125,1102,1449
2022-02-09,307,127,1000,1265
2022-02-10,348,88,923,1125
2022-02-11,273,84,839,1172
2022-02-12,195,42,504,746
2022-02-13,185,53,475,756
2022-02-14,229,80,671,1003
2022-02-15,207,66,699,1032
2022-02-16,242,53,632,937
2022-02-17,220,56,505,916
2022-02-18,174,42,474,770
2022-02-19,109,18,301,585
2022-02-20,106,26,317,596
