No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7
06,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3326,1585.02,10086,4823.52,2372,1138.40,3207,1539.15,13290,6370.88,2489,1191.77,6628,3171.52
06,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2318,1222.48,6333,3365.96,1766,945.99,2093,1121.16,11665,6249.65,2288,1226.03,5889,3157.75
06,06 - Montréal,,Total (incluant inconnus),25422,1226.55,84096,4103.69,22439,1107.60,23976,1183.46,123048,6057.47,25253,1239.86,54227,2658.93
07,07 - Outaouais,0711,0711 - RLS du Pontiac,n.d.,n.d.,80,395.22,283,1389.71,61,299.55,662,3241.21,149,727.36,445,2166.50
07,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,n.d.,n.d.,409,1958.95,102,484.01,41,194.55,897,4239.23,215,1012.00,521,2442.91
07,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,14,35.71,315,793.71,317,789.22,129,321.17,1967,4861.17,353,866.02,538,1311.09
07,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,315,119.49,3935,1493.39,3818,1449.71,1569,595.76,14035,5298.55,2499,938.05,4622,1726.16
07,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,22,38.17,685,1171.52,575,969.68,240,404.74,3244,5428.20,697,1157.31,1404,2314.06
07,07 - Outaouais,,Total (incluant inconnus),361,89.96,5457,1354.86,5120,1266.50,2052,507.59,20908,5140.97,3937,962.30,7564,1838.89
08,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,7,34.05,91,442.43,5,24.30,29,140.91,692,3361.75,423,2054.50,666,3234.50
08,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,n.d.,n.d.,257,1033.00,19,76.17,42,168.38,1023,4097.90,386,1544.93,782,3127.31
08,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,94,218.01,169,392.25,122,283.37,61,141.69,1412,3274.24,809,1872.86,1205,2785.39
08,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,6,13.73,196,448.11,93,212.50,100,228.49,2071,4726.31,735,1675.33,1209,2752.58
08,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,8,50.77,35,221.11,29,182.38,199,1251.49,732,4601.31,311,1954.01,573,3599.25
08,08 - Abitibi-Témiscamingue,,Total (incluant inconnus),122,82.45,750,506.41,270,182.13,432,291.42,5942,4004.04,2665,1793.91,4436,2983.19
09,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,0,0.00,11,340.40,n.d.,n.d.,n.d.,n.d.,217,6755.92,86,2672.47,116,3599.13
09,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,17,41.77,129,317.11,178,437.79,210,516.49,1921,4730.48,1125,2773.74,1955,4826.27
09,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,41,555.56,40,541.82,6,81.25,n.d.,n.d.,313,4242.34,125,1695.84,280,3802.02
09,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,36,130.61,54,195.93,20,72.57,37,134.26,1803,6542.09,603,2187.87,1449,5257.52
09,09 - Côte-Nord,0915,0915 - RLS de la Minganie,n.d.,n.d.,13,201.61,8,123.88,n.d.,n.d.,354,5482.42,355,5498.76,483,7481.41
09,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,0,0.00,6,129.62,n.d.,n.d.,n.d.,n.d.,364,7873.68,402,8714.50,387,8408.47
09,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,0.00,0,0.00,0,0.00,n.d.,n.d.,n.d.,n.d.,5,773.99,7,1081.92
09,09 - Côte-Nord,,Total (incluant inconnus),103,113.68,258,284.85,225,248.50,265,292.68,5081,5615.39,2727,3015.79,4809,5321.99
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,n.d.,n.d.,86,639.45,20,149.05,26,193.77,764,5714.07,341,2559.48,643,4842.60
10,10 - Nord-du-Québec,,Total (incluant inconnus),14,103.86,96,713.81,20,149.05,29,216.13,801,5990.80,342,2566.99,648,4880.25
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,123,379.28,631,1930.99,142,431.28,151,458.62,1087,3289.65,890,2683.88,1539,4625.51
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,n.d.,n.d.,30,278.50,103,949.13,10,92.15,532,4899.61,365,3359.72,690,6348.04
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,13,68.86,434,2281.03,50,260.77,14,73.02,474,2462.91,637,3297.61,831,4287.15
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,30,188.21,398,2487.89,77,479.60,97,604.17,815,5073.93,749,4660.86,840,5224.53
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,9,70.42,33,255.36,16,122.46,10,76.53,471,3584.75,539,4079.62,558,4201.17
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total (incluant inconnus),179,197.31,1532,1676.21,391,424.67,287,311.71,3393,3674.15,3190,3444.03,4478,4821.02
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,306,117.81,5870,2242.31,3664,1388.76,2052,777.77,15411,5806.41,5011,1876.81,8077,3007.92
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,32,74.35,1262,2918.39,467,1074.82,903,2078.30,4213,9660.07,1050,2398.57,1683,3830.75
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,32,43.68,3165,4317.02,2490,3393.71,2112,2878.52,6264,8515.21,1458,1976.84,2408,3256.69
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,8,48.25,422,2525.21,328,1947.40,407,2416.43,1214,7175.36,294,1729.92,481,2818.14
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,12,29.82,541,1338.35,509,1253.36,66,162.52,1973,4855.06,787,1935.33,1287,3162.90
12,12 - Chaudière-Appalaches,,Total (incluant inconnus),393,90.79,11349,2606.11,7480,1707.35,5567,1270.70,29629,6731.64,8650,1956.19,14052,3163.75
