Date,Regroupement,Croisement,Nom,dec_hebdo_tot_n,dec_hebdo_tot_t,dec_quo_tot_t,dec_quo_tot_n,dec_quo_tot_m,dec_quo_tot_tm,hos_heb_testpos_n,hos_heb_testpos_t,hos_quo_testpos_t,hos_quo_testpos_n,hos_quo_testpos_m,hos_act_testpos_n,hos_heb_dxurg_n,hos_heb_dxurg_t,hos_quo_dxurg_t,hos_quo_dxurg_n,hos_quo_dxurg_m,hos_act_dxurg_n,psi_quo_pos_n,psi_quo_inf_n,psi_quo_tes_n,psi_quo_pos_t,psi_heb_pos_n,psi_heb_inf_n,psi_heb_tes_n,psi_heb_pos_t,psi_quo_tot_m,psi_heb_cas_t
2020-01-23,Région,RSS11,11 - Gaspésie-Îles-de-la-Madeleine,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS12,12 - Chaudière-Appalaches,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS13,13 - Laval,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS14,14 - Lanaudière,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS15,15 - Laurentides,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS16,16 - Montérégie,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS17,17 - Nunavik,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Région,RSS00,Inconnu,0,.,.,0,,,0,.,.,0,,0,0,.,.,0,,0,0,0,0,.,0,0,0,.,,.
2020-01-23,Région,RSS98,Hors Québec,0,.,.,0,,,0,.,.,0,,0,0,.,.,0,,0,0,0,0,.,0,0,0,.,,.
2020-01-23,Région,RSS99,Ensemble du Québec,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,2,2,0.00,0,2,2,0.00,,0.00
2020-01-23,Groupe de région,REG01,Montréal et Laval,0,0.00,0.00,0,,,0,0.00,0.00,0,,.,0,0.00,0.00,0,,.,0,2,2,0.00,0,2,2,0.00,,0.00
2020-01-23,Groupe de région,REG02,Ceinture de Montréal,0,0.00,0.00,0,,,0,0.00,0.00,0,,.,0,0.00,0.00,0,,.,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Groupe de région,REG03,Autres régions,0,0.00,0.00,0,,,0,0.00,0.00,0,,.,0,0.00,0.00,0,,.,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Groupe de région,REG00,Inconnu,0,.,.,0,,,0,.,.,0,,.,0,.,.,0,,.,0,0,0,.,0,0,0,.,,.
2020-01-23,Groupe de région,REG98,Hors Québec,0,.,.,0,,,0,.,.,0,,.,0,.,.,0,,.,0,0,0,.,0,0,0,.,,.
2020-01-23,Groupe d'âge,0_9,0-9 ans,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
2020-01-23,Groupe d'âge,10_19,10-19 ans,0,0.00,0.00,0,,,0,0.00,0.00,0,,0,0,0.00,0.00,0,,0,0,0,0,.,0,0,0,.,,0.00
