date,Regroupement,Croisement,Nom,cas_cum_lab_n,cas_cum_epi_n,cases,cas_cum_tot_t,cas_quo_tot_t,cas_quo_lab_n,cas_quo_epi_n,new_cases,active_cases,act_cum_tot_t,cas_quo_tot_m,cas_quo_tot_tm,recovered,new_recovered,deaths,dec_cum_tot_t,dec_quo_tot_t,deaths_chsld,deaths_psr,deaths_home,deaths_other,new_deaths,dec_quo_chs_n,dec_quo_rpa_n,dec_quo_dom_n,dec_quo_aut_n,dec_quo_tot_m,dec_quo_tot_tm,hos_cum_reg_n,hos_cum_si_n,hos_cum_tot_n,hos_cum_tot_t,hos_quo_tot_t,hos_quo_reg_n,hos_quo_si_n,hos_quo_tot_n,hos_quo_tot_m,hos_act_reg_n,hos_act_si_n,hos_act_tot_n,psi_cum_tes_n,psi_cum_pos_n,negative_tests,psi_cum_adm_n,psi_quo_pos_n,new_negative_tests,psi_quo_tes_n,psi_quo_pos_t,psi_heb_pos_t
2020-11-07,Région,RSS99,Ensemble du Québec,107112,7504,114616,1338.12,14.5,1223,15,1238,10787,126.33,1239.86,14.52,95842,995,6486,75.72,0.26,4239,1114,812,321,22,12,5,5,0,26.0,0.3,8523.0,1859.0,10382.0,121.21,0.77,56.0,10.0,66.0,64.43,451.0,77.0,528.0,1911565,107519,1804046,3114547,1270,20776,22046,5.76,4.81
2020-11-08,Région,RSS99,Ensemble du Québec,108402,7515,115917,1353.31,15.24,1290,11,1301,11078,129.73,1271.86,14.89,96833,991,6515,76.06,0.34,4258,1121,815,321,29,19,7,3,0,27.0,0.32,8577.0,1871.0,10448.0,121.98,0.77,54.0,12.0,66.0,66.29,465.0,76.0,541.0,1920779,108733,1812046,3133460,1214,17699,18913,6.42,5.1
2020-11-09,Région,RSS99,Ensemble du Québec,109592,7531,117123,1367.39,14.12,1190,16,1206,11185,130.99,1280.57,15.0,97891,1058,6545,76.41,0.35,4266,1130,824,325,30,8,9,9,4,29.14,0.34,8639.0,1880.0,10519.0,122.81,0.83,62.0,9.0,71.0,69.86,453.0,82.0,535.0,1930432,110033,1820399,3153308,1300,18548,19848,6.55,5.1
2020-11-10,Région,RSS99,Ensemble du Québec,110883,7544,118427,1382.61,15.27,1291,13,1304,11573,135.53,1306.14,15.3,98784,893,6577,76.79,0.37,4283,1136,832,326,32,17,6,8,1,28.29,0.33,8710.0,1892.0,10602.0,123.78,0.97,71.0,12.0,83.0,72.14,490.0,84.0,574.0,1940849,111295,1829554,3179113,1262,24543,25805,4.89,5.1
2020-11-11,Région,RSS99,Ensemble du Québec,112246,7569,119815,1398.81,16.25,1363,25,1388,12046,141.07,1306.14,15.3,99654,870,6607,77.14,0.35,4297,1145,838,327,30,14,9,6,1,28.71,0.34,8768.0,1900.0,10668.0,124.55,0.77,58.0,8.0,66.0,71.71,498.0,86.0,584.0,1952460,112555,1839905,3207058,1260,26685,27945,4.51,5.1
2020-11-12,Région,RSS99,Ensemble du Québec,113561,7586,121147,1414.36,15.6,1315,17,1332,12116,141.89,1279.29,14.98,100883,1229,6642,77.54,0.41,4323,1147,843,329,35,26,2,5,2,28.29,0.33,8832.0,1914.0,10746.0,125.46,0.91,64.0,14.0,78.0,71.71,499.0,85.0,584.0,1964186,113950,1850236,3235717,1395,27264,28659,4.87,5.1
2020-11-13,Région,RSS99,Ensemble du Québec,114922,7599,122521,1430.41,16.09,1361,13,1374,12311,144.17,1253.0,14.67,102036,1153,6662,77.78,0.23,4334,1150,847,331,20,11,3,4,2,27.57,0.32,8898.0,1923.0,10821.0,126.33,0.88,66.0,9.0,75.0,74.0,502.0,82.0,584.0,1976156,115376,1860780,3265052,1426,27909,29335,4.86,5.1
2020-11-14,Région,RSS99,Ensemble du Québec,116145,7614,123759,1444.86,14.5,1223,15,1238,12331,144.41,1227.57,14.38,103223,1187,6687,78.07,0.29,4348,1155,850,334,25,14,5,3,3,28.0,0.33,8953.0,1931.0,10884.0,127.07,0.74,55.0,8.0,63.0,74.71,499.0,89.0,588.0,1986590,116514,1870076,3290858,1138,24668,25806,4.41,5.1
2020-11-15,Région,RSS99,Ensemble du Québec,117236,7636,124872,1457.85,13.03,1091,22,1113,12220,143.11,1201.29,14.07,104420,1197,6713,78.37,0.3,4367,1160,850,336,26,19,5,0,2,29.0,0.34,9006.0,1944.0,10950.0,127.84,0.77,53.0,13.0,66.0,75.0,505.0,87.0,592.0,1996142,117625,1878517,3311474,1111,19505,20616,5.39,4.34
2020-11-16,Région,RSS99,Ensemble du Québec,118237,7657,125894,1469.79,11.97,1001,21,1022,11859,138.88,1197.71,14.03,105767,1347,6738,78.66,0.29,4381,1166,855,336,25,14,6,5,0,28.0,0.33,9082.0,1955.0,11037.0,128.85,1.02,76.0,11.0,87.0,74.71,539.0,100.0,639.0,2005438,118654,1886784,3332050,1029,19547,20576,5.0,4.34
