No,RSS,NoRLS,RLS,Cas vague 1,Taux cas vague 1,Cas vague 2,Taux cas vague 2,Cas vague 3,Taux cas vague 3,Cas vague 4,Taux cas vague 4,Cas vague 5,Taux cas vague 5,Cas vague 6,Taux cas vague 6,Cas vague 7,Taux cas vague 7,Cas vague haute endémicité,Taux cas vague haute endémicité,Cas saison 2023-2024,Taux cas saison 2023-2024
06,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,909,785.12,3568,3139.93,835,748.97,1085,973.21,8314,7441.29,1526,1362.88,1266,1130.67,1659,1480.12,835,741.71
06,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2102,1511.44,8800,6377.55,2184,1595.38,2615,1910.22,8450,6169.68,1231,898.38,1667,1216.57,2451,1789.83,1308,955.43
06,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3326,1585.02,10086,4823.52,2372,1138.40,3207,1539.15,13289,6370.40,2489,1191.77,2817,1348.82,4616,2208.77,2526,1206.12
06,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2318,1222.48,6333,3365.96,1766,945.99,2093,1121.16,11665,6249.65,2288,1226.03,2468,1322.48,4218,2261.74,2166,1160.64
06,06 - Montréal,,Total (incluant inconnus),25423,1226.60,84095,4103.64,22438,1107.55,23976,1183.46,123047,6057.42,25252,1239.81,24461,1200.97,36236,1776.77,18546,906.21
07,07 - Outaouais,0711,0711 - RLS du Pontiac,n.d.,n.d.,80,395.22,283,1389.71,61,299.55,662,3241.21,149,727.36,127,619.97,330,1606.62,165,800.33
07,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,n.d.,n.d.,409,1958.95,102,484.01,41,194.55,897,4239.23,215,1012.00,229,1077.90,370,1734.89,197,919.87
07,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,14,35.71,315,793.71,317,789.22,129,321.17,1967,4861.17,353,866.02,241,591.25,345,840.76,193,465.10
07,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,315,119.49,3935,1493.39,3818,1449.71,1569,595.76,14035,5298.55,2499,938.05,2097,787.15,2802,1046.45,1680,620.62
07,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,22,38.17,685,1171.52,575,969.68,240,404.74,3244,5428.20,697,1157.31,564,936.47,970,1598.75,484,789.19
07,07 - Outaouais,,Total (incluant inconnus),361,89.96,5457,1354.86,5120,1266.50,2052,507.59,20908,5140.97,3937,962.30,3272,799.76,4843,1177.38,2745,660.56
08,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,7,34.05,91,442.43,5,24.30,29,140.91,691,3356.89,423,2054.50,284,1379.38,457,2219.47,292,1418.51
08,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,n.d.,n.d.,257,1033.00,19,76.17,42,168.38,1023,4097.90,386,1544.93,424,1697.02,412,1647.64,272,1086.15
