Date,Regroupement,Croisement,Nom,vac_quo_tot_n,vac_cum_tot_n,cv_tot_n,pop_tot_n,cv_tot_p,vac_quo_tot_m
2020-12-15,Groupe d'âge 3,GR3_18_,18 ans et +,1186,1497,,,,
2020-12-15,Groupe d'âge 3,GR3_65_,65 ans et +,240,458,,,,
2020-12-16,Région,RSS00,Inconnue,2,3,,,,
2020-12-16,Région,RSS01,01 - Bas-Saint-Laurent,0,1,,,,
2020-12-16,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,3,9,,,,
2020-12-16,Région,RSS03,03 - Capitale-Nationale,489,1254,,,,
2020-12-16,Région,RSS04,04 - Mauricie et Centre-du-Québec,7,19,,,,
2020-12-16,Région,RSS05,05 - Estrie,11,25,,,,
2020-12-16,Région,RSS06,06 - Montréal,310,825,,,,
2020-12-16,Région,RSS07,07 - Outaouais,1,3,,,,
2020-12-16,Région,RSS08,08 - Abitibi-Témiscamingue,1,2,,,,
2020-12-16,Région,RSS09,09 - Côte-Nord,0,3,,,,
2020-12-16,Région,RSS10,10 - Nord-du-Québec,0,0,,,,
2020-12-16,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,1,2,,,,
2020-12-16,Région,RSS12,12 - Chaudière-Appalaches,59,121,,,,
2020-12-16,Région,RSS13,13 - Laval,21,51,,,,
2020-12-16,Région,RSS14,14 - Lanaudière,6,12,,,,
2020-12-16,Région,RSS15,15 - Laurentides,12,28,,,,
2020-12-16,Région,RSS16,16 - Montérégie,49,114,,,,
2020-12-16,Région,RSS17,17 - Nunavik,0,0,,,,
2020-12-16,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,0,0,,,,
2020-12-16,Région,RSS98,Hors Québec,0,0,,,,
2020-12-16,Région,RSS99,Ensemble du Québec,972,2472,,,,
2020-12-16,Groupe d'âge 1,GR1_0_15,Moins de 16 ans,0,1,,,,
2020-12-16,Groupe d'âge 1,GR1_16_59,16 à 59 ans,871,1818,,,,
2020-12-16,Groupe d'âge 1,GR1_60_69,60 à 69 ans,91,236,,,,
2020-12-16,Groupe d'âge 1,GR1_70_79,70 à 79 ans,9,87,,,,
2020-12-16,Groupe d'âge 1,GR1_80_,80 ans et plus,1,330,,,,
2020-12-16,Groupe d'âge 1,TOT,Total,972,2472,,,,
2020-12-16,Sexe,FEM,Féminin,687,1730,,,,
2020-12-16,Sexe,INC,Inconnu,2,2,,,,
2020-12-16,Sexe,MASC,Masculin,283,740,,,,
2020-12-16,Sexe,TOT,Total,972,2472,,,,
2020-12-16,Groupe prioritaire,GRP-Autres,Autres raisons,30,78,,,,
2020-12-16,Groupe prioritaire,GRP-CHSLD,Résident en CHSLD,1,456,,,,
2020-12-16,Groupe prioritaire,GRP-MC,Maladie chronique,0,0,,,,
2020-12-16,Groupe prioritaire,GRP-RPA,Résident en RPA,0,1,,,,
2020-12-16,Groupe prioritaire,GRP-TS,Travailleur de la santé,941,1937,,,,
2020-12-16,Groupe prioritaire,TOT,Total,972,2472,,,,
2020-12-16,Groupe d'âge 2,GR2_00_4,Moins de 5 ans,0,1,,,,
2020-12-16,Groupe d'âge 2,GR2_05_11,5 à 11 ans,0,0,,,,
2020-12-16,Groupe d'âge 2,GR2_12_17,12 à 17 ans,2,4,,,,
2020-12-16,Groupe d'âge 2,GR2_18_29,18 à 29 ans,148,280,,,,
2020-12-16,Groupe d'âge 2,GR2_30_49,30 à 49 ans,450,933,,,,
2020-12-16,Groupe d'âge 2,GR2_50_69,50 à 69 ans,362,837,,,,
2020-12-16,Groupe d'âge 2,GR2_70_79,70 à 79 ans,9,87,,,,
2020-12-16,Groupe d'âge 2,GR2_80_,80 ans et plus,1,330,,,,
2020-12-16,Groupe d'âge 2,TOT,Total,972,2472,,,,
2020-12-16,Groupe d'âge 2,GR2_12_,12 ans et +,972,2471,,,,
2020-12-16,Groupe d'âge 3,GR3_00_4,Moins de 5 ans,0,1,,,,
